ID,Major,HighSchoolGPA,SATScores,AppliedtoanotherUC,AdmittedtoanotherUC,FirstGeneration,Gender,TotalHSHonorsCoursesTaken,MathPlacementScore,FirstMathClassGrade,@1stSemesterGPA,Retained1stYear,Graduated
74542,Psychology,3.6,1030,,Yes,Yes,F,6,3,A+,1,N,No
67208,Undeclared,3.6,740,No,No,Yes,M,13,3,D,1,N,No
72290,Sociology,3.6,970,,Yes,Yes,F,0,3,F,1,N,No
76242,Sociology,3.6,860,,Yes,No,M,14,3,F,1,N,No
196944,Computer Science & Engineering,3.72,690,Yes,Yes,Yes,F,0,7,I,1,N,No
129670,Earth Systems Science,3.66,830,,No,Yes,F,0,7,I,1,N,No
190194,Biological Sciences,3.72,990,,Yes,Yes,F,0,7,I,1,N,No
180604,Biological Sciences,3.71,1040,,Yes,Yes,F,0,7,I,1,N,No
72712,Undeclared,3.6,1030,Yes,No,Yes,F,0,3,A+,1.1,N,No
86088,Biological Sciences,3.61,1040,,Yes,Yes,M,10,3,A+,1.1,N,No
107544,Management & Business Economics,3.63,1110,,No,Yes,F,6,3,A+,1.1,N,No
97156,Bioengineering,3.62,1140,Yes,No,No,F,9,3,A+,1.1,N,No
138604,Undeclared SSHA,2.84,1220,,Yes,Yes,F,0,8,B,1.1,N,No
134980,Biological Sciences,2.81,930,,,Yes,F,18,8,B+,1.1,N,No
135268,Undeclared SSHA,2.82,1080,,No,Yes,F,11,8,B+,1.1,N,No
175778,Environmental Engineering,3.7,1230,,Yes,Yes,M,14,7,B+,1.1,N,No
269916,Applied Mathematical Sciences,3.8,740,,Yes,Yes,F,0,7,C,1.1,N,No
278072,Management &Business Economics,3.81,850,,No,Yes,F,0,7,C,1.1,N,No
279498,Biological Sciences,3.81,900,,No,Yes,F,0,,C,1.1,N,No
281578,Undeclared SSHA,3.81,900,,Yes,Yes,F,0,7,C,1.1,N,No
276260,Undeclared,3.81,1070,Yes,No,Yes,F,0,7,C,1.1,N,No
271280,Biological Sciences,3.8,1100,,Yes,Yes,F,0,7,C,1.1,N,No
280078,Bioengineering,3.81,1140,Yes,Yes,Yes,F,0,7,C,1.1,N,No
277800,Undeclared,3.81,1220,Yes,Yes,Yes,F,0,7,C,1.1,N,No
276124,Computer Science & Engineering,3.81,920,Yes,No,Yes,F,0,7,C,1.1,N,No
276138,Biological Sciences,3.81,960,,No,Yes,F,0,7,C,1.1,N,No
281796,Anthropology,3.81,1020,Yes,Yes,Yes,F,0,7,C,1.1,N,No
265308,Computer Science & Engineering,3.8,1030,,No,Yes,F,0,7,C,1.1,N,No
69548,Undeclared,2.33,1080,,Yes,No,M,0,7,C,1.1,N,No
164136,Undeclared SSHA,2.91,920,,Yes,No,M,8,8,C,1.1,N,No
169156,Applied Mathematical Sciences,2.92,950,,,Yes,M,8,8,C,1.1,N,No
158672,Psychology,2.9,1020,,Yes,Yes,M,8,8,C,1.1,N,No
165280,Undeclared,2.91,1020,Yes,Yes,Yes,M,12,8,C,1.1,N,No
151578,History,2.88,1070,,Yes,No,M,8,8,C,1.1,N,No
170382,Management & Business Economics,2.94,1110,,,Yes,M,7,8,C,1.1,N,No
108330,Undeclared,2.7,1010,,No,No,M,6,7,C-,1.1,N,No
84348,Biological Sciences,2.54,1090,,Yes,No,M,10,3,D,1.1,N,No
73682,Materials Sci & Engineering,2.4,1110,,Yes,Yes,F,0,3,D,1.1,N,No
83206,Undeclared SSHA,2.52,940,,No,Yes,F,0,4,D,1.1,N,No
78458,Undeclared,2.47,1100,,No,Yes,F,0,4,D,1.1,N,No
72272,Undeclared,2.38,760,,No,Yes,F,0,5,D,1.1,N,No
77502,Undeclared,2.45,910,,No,Yes,M,11,5,D,1.1,N,No
83196,Computer Science & Engineering,2.52,1070,Yes,Yes,No,M,6,5,D,1.1,N,No
75142,Undeclared,2.42,970,,Yes,Yes,F,6,,D,1.1,N,No
75138,Computer Science & Engineering,2.42,1280,,,Yes,F,12,1,D,1.1,N,No
75568,Biological Sciences,2.43,820,Yes,Yes,Yes,F,18,2,D,1.1,N,No
74970,Biological Sciences,2.42,1110,Yes,No,No,F,8,2,D,1.1,N,No
74948,Bioengineering,2.42,830,,Yes,No,M,8,3,D,1.1,N,No
76182,Biological Sciences,2.45,1030,,No,Yes,F,8,3,D,1.1,N,No
73610,Psychology,2.4,830,,No,No,F,0,4,D,1.1,N,No
72624,Undeclared,2.38,840,Yes,Yes,No,M,6,4,D,1.1,N,No
77634,Biological Sciences,2.45,970,,Yes,Yes,M,6,4,D,1.1,N,No
78352,Psychology,2.47,1050,,Yes,No,F,10,5,D,1.1,N,No
87336,Biological Sciences,2.57,1120,,No,No,M,9,5,D,1.1,N,No
97026,Chemical Sciences,3.62,900,,Yes,No,F,0,3,F,1.1,N,No
78460,Undeclared Engineering,3.6,940,No,No,Yes,M,10,3,F,1.1,N,No
116810,Biological Sciences,3.65,1000,,,Yes,M,12,3,F,1.1,N,No
101620,Biological Sciences,3.63,1010,,Yes,No,F,12,,F,1.1,N,No
68750,Literatures and Cultures,3.5,1210,,Yes,No,F,0,2,F,1.1,N,No
190590,Environmental Engineering,3.72,940,,Yes,Yes,M,12,7,F,1.1,N,No
231822,Management & Business Economics,3.76,870,,No,Yes,F,0,7,I,1.1,N,No
264896,Mechanical Engineering,3.8,880,,Yes,Yes,F,0,7,I,1.1,N,No
186502,Undeclared,2.96,1180,,Yes,No,F,10,8,D,1.2,N,No
280630,Bioengineering,3.12,850,,No,No,F,0,,W,1.2,N,No
77608,Political Science,3.6,730,No,No,Yes,M,10,3,D+,1.21,N,No
264360,Undeclared,3.8,1180,,Yes,No,F,0,7,F,1.21,N,No
76632,Undeclared,2.45,1010,,Yes,No,M,8,6,D,1.25,N,No
72084,Social and Cognitive Science,2.38,1120,,No,No,M,8,6,D,1.25,N,No
210058,Biological Sciences,3,940,Yes,No,,M,8,8,D-,1.25,N,No
208306,Undeclared,3,1180,,Yes,No,M,10,8,D-,1.25,N,No
254944,Biological Sciences,3.79,800,,No,No,M,0,2,F,1.25,N,No
229378,Psychology,3.76,980,,,No,M,0,2,F,1.25,N,No
271652,History,3.8,1020,,Yes,No,M,0,2,F,1.25,N,No
233316,Mechanical Engineering,3.05,1260,,Yes,Yes,M,6,7,F,1.25,N,No
233786,Literatures and Cultures,3.05,1260,,Yes,Yes,M,10,7,F,1.25,N,No
78428,Psychology,2.47,990,,No,Yes,M,6,6,D,1.44,N,No
217462,Undeclared,3.04,1080,Yes,No,Yes,M,7,8,F,1.44,N,No
79140,Undeclared,2.48,980,,Yes,Yes,F,0,,D,1.46,N,No
239792,Undeclared,3.05,1020,,Yes,No,M,8,8,I,1.46,N,No
86474,Undeclared,2.56,1110,,No,No,M,8,6,D,1.48,N,No
249290,Management & Business Economics,3.08,870,,Yes,Yes,M,7,,I,1.48,N,No
78188,Political Science,3.6,1020,,No,No,F,12,3,F,1.5,N,No
67600,Biological Sciences,3.6,930,,Yes,No,M,12,3,F,1.5,N,No
173974,Undeclared,2.95,1110,Yes,,Yes,F,0,7,I,1.5,N,No
267816,Undeclared,3.8,1120,,Yes,Yes,F,4,6,A+,1.54,N,No
271660,Undeclared,3.11,800,,No,Yes,F,0,8,C,1.54,N,No
270172,Psychology,3.8,1010,Yes,No,Yes,F,6,7,A,1.55,N,No
282850,Applied Mathematical Sciences,3.12,1090,,Yes,Yes,F,6,,A+,1.55,N,No
280616,History,3.12,1100,,No,No,M,7,8,A+,1.6,N,No
72080,Biological Sciences,2.38,1130,,No,No,M,6,7,D,1.6,N,No
282806,Psychology,3.12,920,,,No,M,8,8,A+,1.64,N,No
76600,Undeclared,2.45,880,,Yes,Yes,F,8,7,D,1.64,N,No
281002,Undeclared Engineering,3.12,1060,,Yes,No,F,0,,A+,1.65,N,No
280048,Psychology,3.12,1090,,No,No,F,0,8,A+,1.65,N,No
60782,Biological Sciences,3.59,1130,,No,Yes,F,8,8,A+,1.65,N,No
64596,Management & Business Economics,3.59,1160,,Yes,No,M,8,,C,1.65,N,No
85728,Undeclared Engineering,2.55,870,No,No,No,M,35,7,D,1.65,N,No
85770,Undeclared,2.55,1010,Yes,No,No,M,14,8,D,1.65,N,No
85640,Psychology,2.55,1210,Yes,Yes,Yes,M,7,7,D,1.65,N,No
84898,Biological Sciences,2.54,980,Yes,Yes,Yes,F,0,8,D,1.65,N,No
114934,Physics,3.65,690,,No,No,M,6,3,B-,1.66,N,No
65184,Materials Sci & Engineering,3.59,1240,,Yes,Yes,F,6,8,C-,1.66,N,No
63812,Psychology,3.59,920,,Yes,Yes,M,10,9,A-,1.67,N,No
63052,Psychology,3.59,1080,,Yes,No,M,8,8,B,1.67,N,No
63820,Undeclared,3.59,1140,Yes,Yes,No,F,12,,C+,1.67,N,No
136060,Biological Sciences,3.66,890,,Yes,No,F,0,3,F,1.67,N,No
175396,Biological Sciences,3.7,930,,No,No,F,8,9,A-,1.68,N,No
65658,Undeclared,3.59,740,,Yes,Yes,M,6,8,D-,1.68,N,No
76916,Biological Sciences,3.6,870,,Yes,No,M,8,8,C,1.69,N,No
129818,Chemical Sciences,3.66,970,Yes,Yes,Yes,F,10,3,F,1.69,N,No
142902,Undeclared Engineering,3.66,1130,Yes,Yes,Yes,F,10,3,A+,1.7,N,No
77830,Biological Sciences,3.6,920,Yes,Yes,Yes,F,0,8,A+,1.7,N,No
75358,Biological Sciences,3.6,1100,,Yes,Yes,F,0,8,A+,1.7,N,No
182390,Management & Business Economics,3.71,1190,,Yes,Yes,F,0,9,D,1.7,N,No
144572,Biological Sciences,3.67,950,Yes,Yes,No,F,0,7,D-,1.7,N,No
154518,Biological Sciences,3.68,900,,Yes,No,F,10,3,F,1.7,N,No
113886,Biological Sciences,3.64,900,No,No,No,F,0,1,F,1.7,N,No
280002,Computer Science & Engineering,3.81,1110,Yes,No,No,F,0,1,F,1.7,N,No
129732,Chemical Sciences,3.66,690,Yes,Yes,No,M,0,2,F,1.7,N,No
182828,Undeclared,3.71,710,,Yes,No,M,0,2,F,1.7,N,No
168664,Biological Sciences,3.7,850,,Yes,No,F,0,2,F,1.7,N,No
142370,Undeclared SSHA,3.66,870,,Yes,No,F,0,2,F,1.7,N,No
130660,Psychology,3.66,910,,No,No,M,0,2,F,1.7,N,No
157614,Undeclared SSHA,3.68,970,Yes,Yes,No,M,0,2,F,1.7,N,No
123064,Undeclared,3.65,980,,Yes,No,F,0,2,F,1.7,N,No
151124,Applied Mathematical Sciences,3.68,1000,,Yes,No,F,0,2,F,1.7,N,No
170162,Physics,3.7,1020,,Yes,No,F,0,2,F,1.7,N,No
123614,Environmental Engineering,3.65,1240,Yes,Yes,No,F,0,2,F,1.7,N,No
67552,Biological Sciences,3.6,1010,,Yes,Yes,F,8,8,A+,1.7,Y,Yes
212416,Undeclared,3.75,620,Yes,No,Yes,F,10,8,B-,1.7,Y,Yes
74244,Biological Sciences,2.41,1130,,Yes,No,F,0,1,F,1.7,Y,Yes
266958,Undeclared Natural Sciences,3.8,1000,,Yes,No,F,0,6,F,1.7,Y,Yes
148100,Computer Science & Engineering,3.68,1010,,Yes,No,M,6,3,F,1.71,N,No
67014,Chemical Sciences,3.6,710,,Yes,Yes,F,10,8,C,1.71,Y,No
67596,Computer Science & Engineering,3.6,740,,Yes,Yes,F,8,8,D,1.73,N,No
147700,Economics,3.68,800,Yes,Yes,No,F,0,3,F,1.73,Y,No
74130,Computer Science & Engineering,3.6,1130,Yes,Yes,Yes,F,8,8,A+,1.74,N,No
69692,Management & Business Economics,3.6,1250,,Yes,Yes,M,11,8,A+,1.74,N,No
151836,Management & Business Economics,3.68,960,Yes,Yes,Yes,F,0,3,F,1.74,N,No
159440,Undeclared,3.68,980,,No,No,F,8,3,F,1.74,N,No
153608,Mechanical Engineering,3.68,990,,Yes,Yes,F,0,3,F,1.74,N,No
78248,Psychology,3.6,1040,,Yes,Yes,M,10,8,A+,1.74,Y,No
154108,History,3.68,890,,Yes,Yes,F,0,3,F,1.74,Y,No
75412,Psychology,3.6,1050,,Yes,No,M,11,8,A+,1.74,Y,Yes
